t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Neobatrachus_aquilonius_132170,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.07163323782234957,0.839541547277937,0.08882521489971347,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.0830945558739255,0.8510028653295129,0.0659025787965616,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.7163323782234957,0.17765042979942694,0.10601719197707736,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.166189111747851,0.6332378223495702,0.20057306590257878,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.17478510028653296,0.6361031518624641,0.18911174785100288,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.8481375358166189,0.09169054441260745,0.06017191977077364,349.0
Neobatrachus_aquilonius_132170,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.9197707736389685,0.04871060171919771,0.03151862464183381,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,0.2177650429799427,0.17765042979942694,0.6045845272206304,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,0.08882521489971347,0.22922636103151864,0.6819484240687679,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,0.4297994269340974,0.3037249283667622,0.2664756446991404,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_wilsmorei_113973,0.45558739255014324,0.30945558739255014,0.2349570200573066,349.0
